23127,1,1002,136,10,4,253,8968,5804,93,672,6,72,0,11149,8,1,476,2,22,27,395,27,1650,212,0,138,162,502,21206,8405,1,32,244,367,0,0,15,4,0,0,4,17,2,2,4,0,2,1,1,0,2,2,0,0,1,3,2,19,12,0,0,33,35,6,7,0,0,2,3
1,2687,276,961,2,0,2,6,6,371,5,143,4,667,0,5,38,359,28,88,0,10,2049,80,69,1899,616,7027,34,2,16,16,0,6,234,0,10,36,22,1,0,0,3,0,3,1,3,0,47,1,1,1,35,1,18,0,0,2,15,1,69,101,214,2,1,0,3,0,0,8
1002,276,38116,777,2,15,677,1643,2067,36,850,124,54,90,1145,25,102,4005,7,162,12,341,429,20495,190,26,22145,8499,1054,641,993,10,35,61,1474,6,50,1309,92,0,0,4,72,20,7,13,5,0,1,42,3,27,443,5,45,1,49,78,992,22,13,412,3746,59,9,31,0,0,1,147
136,961,777,307,49,2,390,994,316,332,646,66,174,180,140,12,597,471,17,86,135,1153,829,745,4490,418,1182,13285,2376,441,1826,17,6,248,652,15,5,65,95,4,2,49,186,48,44,69,7,22,20,29,2,45,26,1,11,13,145,27,81,370,42,96,356,453,65,152,2,2,8,42
10,2,2,49,16207,3,244,34,55,240,3746,0,6320,1,43,115,2,2,0,0,21815,1,11,4,4390,0,0,11,8949,69,5,0,2,15,59,2,0,0,29,1787,0,114,42,50,61,330,1,287,0,19,14,0,0,0,0,544,0,1,3,386,0,0,3,468,12,2,0,0,0,20
4,0,15,2,3,4226,7718,26,1994,14,39,7,38,1,326,2819,0,4,1,0,6,1,3,5,14,0,3,1,9,343,3,0,6257,0,113,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
253,2,677,390,244,7718,92950,3932,41343,301,12338,33,10118,11,6128,6353,15,92,1,7,881,78,64,382,430,1,129,190,1783,5583,165,3,5867,102,1451,2,2,17,9,41,1,126,131,91,13,197,0,53,0,30,2,1,0,0,2,38,2,4,47,310,1,2,34,425,24,18,0,0,3,24
8968,6,1643,994,34,26,3932,96071,7657,773,23514,6,521,16,6459,106,25,145,0,3,311,466,214,2181,1478,2,222,704,19090,4070,20851,0,94,1028,1729,12,1,24,39,21,0,92,220,77,23,100,0,28,0,43,5,6,11,0,3,25,14,11,150,348,0,14,86,653,71,76,0,2,6,42
5804,6,2067,316,55,1994,41343,7657,86713,223,12025,75,1272,14,44267,907,11,450,6,16,214,314,74,1648,439,2,380,399,1315,5703,1049,1,7649,89,1277,4,0,25,4,6,1,35,103,46,9,42,0,8,1,16,0,3,9,0,1,10,3,4,58,117,2,9,88,196,16,14,0,0,4,17
93,371,36,332,240,14,301,773,223,9560,569,63,4017,172,73,648,19,28,13,10,843,39,1367,73,13685,149,137,1211,2100,462,856,5,6,319,321,8,0,6,76,29,0,46,92,33,68,82,2,35,2,19,1,1,1,2,2,34,5,5,26,300,8,17,38,349,29,24,1,1,5,16
672,5,850,646,3746,39,12338,23514,12025,569,93545,3,13815,4,2664,162,15,58,0,2,10866,99,100,585,1080,0,98,311,11740,1895,196,0,101,265,1623,4,1,7,62,757,0,351,222,170,75,528,2,263,1,46,17,3,6,1,2,167,4,9,78,728,0,2,51,998,34,17,0,3,2,57
6,143,124,66,0,7,33,6,75,63,3,78476,1,21905,47,1,8,268,14507,3591,1,32,68,82,2,2252,28476,2285,19,296,23,1258,26,5,6823,0,7,3,32,0,0,0,0,0,4,0,21,0,138,0,0,1,6,41,54,0,0,2,9,0,330,332,480,1,1,1,16,0,0,12
72,4,54,174,6320,38,10118,521,1272,4017,13815,1,85444,0,498,4375,2,12,0,0,27469,6,30,26,2567,2,6,45,2871,857,13,0,59,46,772,0,0,1,11,147,2,165,73,69,39,240,2,2430,0,19,11,0,0,0,0,725,0,1,4,277,0,0,6,404,9,4,0,0,1,22
0,667,90,180,1,1,11,16,14,172,4,21905,0,31366,4,1,2,28,716,160,1,3,255,13,5,4745,5340,9055,7,42,2,3779,5,1,616,1,22,8,187,0,0,0,1,2,12,0,133,0,769,2,1,0,9,91,84,0,0,6,5,2,1397,452,816,1,0,2,60,0,0,39
11149,0,1145,140,43,326,6128,6459,44267,73,2664,47,498,4,84600,54,4,336,3,16,109,223,24,1088,237,2,186,210,658,18654,1514,1,10212,188,1019,2,0,10,2,0,0,9,21,10,6,8,0,3,0,5,0,1,3,0,1,3,0,1,18,27,0,3,34,49,1,8,0,0,0,5
8,5,25,12,115,2819,6353,106,907,648,162,1,4375,1,54,10747,0,1,0,1,139,4,34,10,439,1,9,33,208,142,11,0,163,18,53,1,0,1,3,9,0,7,1,1,14,13,0,15,0,1,1,0,0,0,0,9,0,1,2,21,0,0,2,37,0,1,0,0,0,0
1,38,102,597,2,0,15,25,11,19,15,8,2,2,4,0,26483,160,0,20,0,2689,7365,9403,1995,2,100,8255,764,17,347,1,0,20,482,1,0,16,6,2,0,2,14,5,11,5,0,1,0,3,0,95,11,0,5,0,160,53,828,41,0,9,106,114,15,81,0,0,2,13
476,359,4005,471,2,4,92,145,450,28,58,268,12,28,336,1,160,50449,394,13076,2,1923,292,15308,125,41,11369,7121,375,1368,2215,8,9,278,8589,4,39,298,39,0,0,1,12,11,3,1,3,0,4,16,0,12,185,4,59,0,33,25,237,7,7,369,1102,29,5,17,0,0,1,43
2,28,7,17,0,1,1,0,6,13,0,14507,0,716,3,0,0,394,17742,6306,0,7,17,16,0,258,11768,595,0,18,8,172,3,4,649,0,3,0,7,0,0,0,0,1,2,0,6,0,14,0,0,1,1,14,15,0,0,1,1,0,68,111,162,0,0,1,4,0,0,9
22,88,162,86,0,0,7,3,16,10,2,3591,0,160,16,1,20,13076,6306,16399,0,268,48,1062,13,331,12857,1605,54,147,199,53,3,32,3776,0,10,15,12,0,0,1,0,0,1,0,5,0,8,0,0,1,22,15,64,0,3,4,22,1,27,321,396,4,3,1,3,0,1,12
