24962,29989,32631,21714,24966,10878,17355,25276,16980,17491,27495,22885,18621,21497,22945,17197,21737,33961,32660,39485,23843,26426,20485,28591,23467,32678,44783,38358,30223,26067,24255,12919,18353,22707,25757,23477,28211,27697,21049,24501,9386,14622,22585,13074,16645,23503,21048,16335,21917,21112,14406,20237,31882,27338,35136,20988,23834,19932,26292,21447,31054,38755,37032,28819,24370,22290,16833,13172,21886,23870
24957,30045,32649,21740,24859,10792,17343,25180,16978,17432,27439,22867,18589,21451,22927,17178,21682,34026,32563,39506,23841,26370,20495,28578,23455,32705,44808,38276,30186,26072,24212,12974,18266,22642,25763,23506,28263,27696,21057,24369,9391.3,14604,22597,13034,16601,23463,21099,16285,21883,21102,14381,20193,31939,27345,35217,20972,23796,19934,26267,21452,31081,38819,36972,28792,24385,22332,16805,13142,21884,23908
24936,30043,32639,21752,24915,10805,17326,25106,16976,17432,27399,22819,18583,21476,22927,17162,21706,34009,32588,39513,23821,26385,20508,28598,23456,32703,44794,38257,30204,26074,24187,12911,18333,22576,25757,23512,28281,27667,21052,24423,9386.9,14632,22598,13100,16620,23488,21127,16280,21898,21183,14378,20203,32008,27380,35338,20922,23795,19912,26258,21455,31102,38797,36974,28793,24445,22336,16774,13239,21917,23916
24886,30091,32604,21787,24820,10772,17341,25153,16970,17425,27323,22877,18530,21505,22921,17149,21648,33973,32659,39482,23800,26361,20487,28539,23438,32702,44779,38206,30181,26064,24179,12916,18264,22470,25748,23500,28287,27712,21029,24316,9427.1,14654,22666,13105,16607,23453,21154,16216,21922,21182,14411,20180,32027,27406,35295,20888,23784,19908,26246,21448,31061,38851,36969,28810,24429,22365,16876,13238,21885,23902
24859,30057,32623,21778,24874,10767,17340,25144,16997,17448,27406,22851,18568,21480,22925,17176,21665,33986,32687,39499,23780,26374,20474,28556,23479,32796,44779,38202,30242,26013,24185,12823,18332,22500,25765,23449,28250,27697,21030,24366,9438.5,14656,22636,13117,16606,23511,21166,16270,21942,21176,14388,20183,32007,27374,35235,20921,23789,19910,26258,21480,31164,38862,36983,28854,24365,22363,16696,13230,21861,23969
24855,30044,32610,21751,24891,10827,17369,25177,16980,17429,27372,22853,18578,21463,22897,17180,21643,33974,32623,39448,23809,26373,20462,28541,23469,32733,44785,38190,30193,25997,24163,12917,18296,22455,25765,23454,28276,27696,21066,24415,9432.6,14668,22639,13124,16604,23514,21162,16258,21904,21142,14421,20163,31987,27336,35176,20921,23801,19881,26249,21488,31147,38848,36960,28856,24303,22347,16840,13254,21848,23947
24854,30062,32634,21762,24942,10787,17361,25136,16970,17442,27447,22832,18610,21481,22901,17180,21698,33979,32650,39463,23822,26406,20468,28583,23467,32720,44762,38189,30211,25986,24180,12662,18248,22528,25762,23462,28215,27689,21073,24465,9422.8,14672,22605,13111,16618,23570,21175,16293,21947,21148,14418,20208,31973,27324,35211,20940,23814,19896,26266,21473,31153,38861,37008,28843,24292,22349,16798,13243,21828,23959
24880,30039,32643,21782,24974,10759,17329,25161,16955,17441,27397,22823,18624,21456,22886,17208,21711,34004,32569,39454,23869,26423,20497,28601,23455,32685,44780,38199,30219,25979,24175,12776,18223,22497,25750,23468,28248,27657,21058,24494,9362.7,14653,22596,13086,16615,23550,21186,16324,21937,21123,14432,20197,31985,27342,35233,20999,23840,19921,26273,21466,31109,38858,36999,28840,24300,22348,16889,13220,21792,23931
24895,30007,32640,21772,24978,10743,17350,25106,16991,17443,27498,22851,18608,21491,22902,17172,21713,34010,32697,39510,23835,26424,20490,28595,23469,32707,44773,38176,30231,25987,24173,12627,18224,22500,25758,23471,28254,27676,21087,24494,9399.3,14676,22550,13125,16616,23587,21219,16332,21972,21169,14470,20214,31921,27465,35279,21002,23821,19922,26267,21472,31125,38835,36974,28838,24294,22353,16843,13199,21801,23932
24899,30040,32667,21772,25035,10830,17359,25155,16975,17515,27434,22839,18646,21470,22875,17217,21707,33985,32590,39436,23896,26436,20517,28603,23493,32694,44736,38180,30232,25990,24157,12852,18239,22544,25753,23483,28261,27693,21064,24555,9389.9,14684,22584,13113,16649,23585,21166,16338,21938,21136,14424,20214,31966,27315,35178,21062,23844,19948,26299,21501,31082,38799,36973,28878,24312,22371,16909,13229,21856,23929
