ID,degree_avg,degree_interHemisphere_avg,degree_intraHemisphere_avg,degree_withinModule_avg,degree_betweenModule_avg
0074_1,94.420000,45.560000,48.860000,14.800000,79.620000
0074_2,93.280000,44.320000,48.960000,14.680000,78.600000
0075_1,94.700000,46.040000,48.660000,14.780000,79.920000
0075_2,93.420000,44.860000,48.560000,14.660000,78.760000
0076_1,50.000000,8.560000,41.440000,8.380000,41.620000
0077_1,87.440000,39.100000,48.340000,14.060000,73.380000
0077_2,88.140000,39.840000,48.300000,14.040000,74.100000
0078_1,85.640000,37.660000,47.980000,13.540000,72.100000
0079_1,68.560000,23.820000,44.740000,10.960000,57.600000
0080_1,70.440000,26.020000,44.420000,11.540000,58.900000
0081_1,86.220000,38.120000,48.100000,13.540000,72.680000
0081_2,88.500000,40.340000,48.160000,13.960000,74.540000
0082_1,91.320000,42.940000,48.380000,14.340000,76.980000
0083_1,83.880000,37.140000,46.740000,13.360000,70.520000
0083_2,84.980000,37.260000,47.720000,13.240000,71.740000
0084_1,90.120000,42.300000,47.820000,14.220000,75.900000
0085_1,90.020000,41.360000,48.660000,14.200000,75.820000
0085_2,89.260000,40.760000,48.500000,14.100000,75.160000
0086_1,85.400000,37.340000,48.060000,13.520000,71.880000
0086_2,65.960000,20.460000,45.500000,10.740000,55.220000
0087_1,89.920000,42.320000,47.600000,14.240000,75.680000
0088_1,90.780000,42.540000,48.240000,14.380000,76.400000
0089_1,74.860000,29.840000,45.020000,12.280000,62.580000
0089_2,81.000000,33.940000,47.060000,12.920000,68.080000
0090_1,86.440000,40.000000,46.440000,13.920000,72.520000
0090_2,85.820000,39.060000,46.760000,13.680000,72.140000
0091_1,93.700000,45.260000,48.440000,14.700000,79.000000
0091_2,91.860000,44.120000,47.740000,14.400000,77.460000
0092_1,89.880000,42.120000,47.760000,14.280000,75.600000
0093_1,88.180000,40.420000,47.760000,13.820000,74.360000
0093_2,71.560000,29.040000,42.520000,11.260000,60.300000
0094_1,87.400000,39.300000,48.100000,13.860000,73.540000
0095_1,83.700000,37.420000,46.280000,13.480000,70.220000
0096_1,87.360000,40.640000,46.720000,13.880000,73.480000
0097_1,76.860000,34.040000,42.820000,12.000000,64.860000
0097_2,92.020000,43.860000,48.160000,14.480000,77.540000
0098_1,81.380000,33.180000,48.200000,13.040000,68.340000
0099_1,90.400000,42.020000,48.380000,14.420000,75.980000
0099_2,87.380000,39.100000,48.280000,13.940000,73.440000
0100_1,90.400000,41.980000,48.420000,14.340000,76.060000
0101_1,90.820000,42.980000,47.840000,14.300000,76.520000
0101_2,64.100000,21.680000,42.420000,10.100000,54.000000
0102_1,88.360000,40.140000,48.220000,13.980000,74.380000
0103_1,88.400000,40.620000,47.780000,14.040000,74.360000
0103_2,67.840000,24.200000,43.640000,10.740000,57.100000
0104_1,90.540000,42.540000,48.000000,14.160000,76.380000
0105_1,87.340000,39.120000,48.220000,13.860000,73.480000
0106_1,83.740000,35.620000,48.120000,13.620000,70.120000
0106_2,77.840000,30.480000,47.360000,12.740000,65.100000
0107_1,89.540000,41.100000,48.440000,14.080000,75.460000
0108_1,80.000000,34.600000,45.400000,12.720000,67.280000
0109_1,89.860000,41.560000,48.300000,14.260000,75.600000
0110_1,89.480000,41.340000,48.140000,14.040000,75.440000
0111_1,84.840000,37.500000,47.340000,13.460000,71.380000
0112_1,83.460000,37.280000,46.180000,13.420000,70.040000
0113_1,91.360000,43.060000,48.300000,14.240000,77.120000
0114_1,88.160000,40.260000,47.900000,13.960000,74.200000
0115_1,74.400000,30.340000,44.060000,11.580000,62.820000
0115_2,91.060000,42.860000,48.200000,14.140000,76.920000
0116_1,83.480000,35.500000,47.980000,13.440000,70.040000
0117_1,85.600000,37.640000,47.960000,13.560000,72.040000
0118_1,71.920000,28.140000,43.780000,11.560000,60.360000
0119_1,90.220000,41.760000,48.460000,14.220000,76.000000
0119_2,84.560000,37.160000,47.400000,13.440000,71.120000
0120_1,61.580000,19.520000,42.060000,9.780000,51.800000
0121_1,88.240000,40.580000,47.660000,14.240000,74.000000
0122_1,93.120000,44.540000,48.580000,14.520000,78.600000
0123_1,43.480000,8.720000,34.760000,7.220000,36.260000
0124_1,87.320000,38.960000,48.360000,14.000000,73.320000
0125_1,87.080000,40.120000,46.960000,13.920000,73.160000
0126_1,90.500000,42.000000,48.500000,14.320000,76.180000
0127_1,77.140000,30.100000,47.040000,12.720000,64.420000
0128_1,89.720000,41.880000,47.840000,14.320000,75.400000
0129_1,91.360000,42.760000,48.600000,14.300000,77.060000
0129_2,82.820000,36.980000,45.840000,13.120000,69.700000
0130_1,92.580000,44.140000,48.440000,14.560000,78.020000
0131_1,90.780000,42.840000,47.940000,14.460000,76.320000
0132_1,92.480000,44.120000,48.360000,14.740000,77.740000
0132_2,92.140000,43.760000,48.380000,14.700000,77.440000
0133_1,90.140000,41.940000,48.200000,14.180000,75.960000
0134_1,89.780000,41.780000,48.000000,14.320000,75.460000
0135_1,85.680000,38.220000,47.460000,13.540000,72.140000
0136_1,87.680000,39.600000,48.080000,13.920000,73.760000
0137_1,87.860000,39.340000,48.520000,14.040000,73.820000
0138_1,84.120000,37.320000,46.800000,13.120000,71.000000
0139_1,85.500000,36.980000,48.520000,13.600000,71.900000
0140_1,87.560000,40.120000,47.440000,13.900000,73.660000
0141_1,90.240000,42.680000,47.560000,14.180000,76.060000
0142_1,85.780000,37.080000,48.700000,13.500000,72.280000
0143_1,88.320000,40.680000,47.640000,14.200000,74.120000
0144_1,91.020000,42.920000,48.100000,14.500000,76.520000
0145_1,85.340000,37.280000,48.060000,13.720000,71.620000
0145_2,80.560000,32.940000,47.620000,12.860000,67.700000
0146_1,89.140000,40.900000,48.240000,14.400000,74.740000
0146_2,86.580000,39.000000,47.580000,13.880000,72.700000
0147_1,56.420000,16.360000,40.060000,9.120000,47.300000
0148_1,84.500000,36.560000,47.940000,13.360000,71.140000
0149_1,89.000000,40.940000,48.060000,14.080000,74.920000
0150_1,89.580000,41.640000,47.940000,14.140000,75.440000
0151_1,77.880000,29.400000,48.480000,12.520000,65.360000
0151_2,76.320000,28.780000,47.540000,12.420000,63.900000
0152_1,84.780000,36.620000,48.160000,13.460000,71.320000
0153_1,74.340000,26.940000,47.400000,11.900000,62.440000
0154_1,82.200000,36.520000,45.680000,13.180000,69.020000
0155_1,85.460000,38.140000,47.320000,13.620000,71.840000
0156_1,86.320000,37.920000,48.400000,13.700000,72.620000
0157_1,67.960000,24.140000,43.820000,11.280000,56.680000
0158_1,78.260000,30.360000,47.900000,12.420000,65.840000
0158_2,75.540000,27.720000,47.820000,12.080000,63.460000
0159_1,71.080000,23.040000,48.040000,11.020000,60.060000
0160_1,90.100000,42.000000,48.100000,14.460000,75.640000
0161_1,89.960000,41.380000,48.580000,14.060000,75.900000
0162_1,88.420000,40.600000,47.820000,14.040000,74.380000
0163_1,90.840000,42.340000,48.500000,14.360000,76.480000
0163_2,91.660000,43.200000,48.460000,14.300000,77.360000
0164_1,91.840000,43.600000,48.240000,14.500000,77.340000
