32610,35556,36224,26499,34046,17034,22254,34092,24950,25099,32026,31006,24695,30115,33435,20337,30724,40904,40851,44339,31442,37657,28072,36310,31672,38128,46457,42435,37247,33490,36362,26747,21170,29301,30925,31968,34361,33285,25581,33744,16804,20683,38399,25929,23427,31861,30277,23613,29872,31909,19774,28484,38937,41269,42011,30043,31325,26881,33281,30593,36573,42969,40141,36409,31960,29038,22478,22805,29357,30769
32618,35730,36067,26623,33910,17118,22266,34211,25093,25120,31999,31131,24587,30282,33471,20355,30540,40782,40890,44357,31369,37447,28076,36185,31692,38318,46255,42234,37186,33386,36240,27022,20958,29066,30873,31892,34472,33073,25669,33699,16809,20696,38433,26064,23445,31883,30415,23541,30060,32006,19697,28309,38800,41394,41992,29937,31203,26916,33138,30612,36689,42877,40048,36395,31872,28906,22591,22719,29119,30735
32602,35432,36157,26494,33834,17222,22307,34045,25236,25065,32152,31057,24579,30153,33495,20399,30497,40678,40842,44258,31376,37354,27944,36112,31594,38244,46391,42267,37077,33233,36169,26894,21292,29056,30832,31828,34358,33109,25590,33591,16923,20845,38277,26142,23391,32083,30378,23535,29947,31987,19776,28310,38758,41330,41924,29894,31150,26816,33045,30523,36569,42914,39995,36286,31754,28886,22379,22922,28983,30691
32609,35381,36091,26444,33804,17233,22422,33910,25347,25072,32114,31197,24604,30203,33530,20427,30360,40546,40998,44200,31350,37224,27869,36012,31495,38278,46383,42178,36975,33285,36081,26526,21032,28953,30808,31821,34179,33032,25503,33434,16955,20878,38128,26163,23405,31970,30487,23554,29988,31967,19787,28162,38758,41503,41893,29906,31024,26704,32964,30424,36629,42775,39904,36152,31774,28778,22350,22753,28945,30684
32689,35623,36065,26586,33731,17094,22388,33993,25197,25109,32009,31131,24623,30156,33503,20366,30668,40716,40933,44291,31347,37505,28082,36210,31591,38291,46251,42255,37097,33292,36172,26680,21007,28964,30871,31893,34359,33091,25631,33414,16904,20774,38262,26013,23433,31884,30431,23523,29958,31935,19817,28398,38827,41338,41931,29885,31198,26895,33162,30496,36593,42740,40050,36272,31822,28879,22385,22745,29060,30696
32702,35641,36058,26604,33870,17153,22300,34120,25070,25089,32147,31046,24627,30097,33465,20395,30544,40778,40879,44362,31443,37390,28017,36131,31618,38332,46106,42176,37128,33212,36036,26678,20895,29090,30923,31928,34364,33163,25628,33591,16934,20791,38412,26077,23475,32075,30339,23544,29897,31994,19814,28348,38825,41208,42013,29988,31177,26880,33110,30618,36660,42780,40015,36386,31720,28833,22434,22705,29105,30778
32601,35366,36203,26508,34062,17239,22337,33990,25220,25179,32170,31026,24616,30116,33458,20392,30499,40498,40780,44083,31469,37325,27956,36059,31667,38284,46192,42188,37034,33192,36029,26405,21224,28840,30767,31776,34227,33267,25604,33687,16989,20844,38400,26167,23588,32055,30336,23588,29959,32037,19870,28264,38674,41308,41905,30018,31087,26801,32989,30674,36678,42823,39963,36254,31794,28762,22239,22950,28924,30661
32509,35528,36115,26503,34097,17106,22316,34016,25078,25331,31968,31052,24654,30234,33384,20429,30515,40492,40813,44040,31504,37350,28012,36022,31673,38340,46272,42185,36973,33227,35954,26514,20926,28960,30822,31776,34425,33135,25719,33727,16868,20788,38358,26091,23667,31912,30418,23652,30037,32017,19815,28273,38717,41465,41987,30052,31121,26867,33015,30685,36902,42979,40019,36298,31883,28775,22347,22739,29059,30704
32560,35704,35961,26556,34100,17040,22214,34038,24980,25365,31983,31004,24679,30224,33291,20410,30506,40536,40754,43993,31494,37410,28032,36061,31710,38540,46195,42213,37005,33170,35989,26541,21043,28885,30834,31797,34532,33073,25733,33789,16869,20750,38421,26019,23711,31991,30390,23681,30076,31963,19783,28257,38798,41310,41904,30043,31173,26886,33105,30744,36952,43037,40086,36358,31763,28806,22362,22856,29068,30768
32544,35630,36103,26574,33994,17168,22262,33889,25072,25273,32118,31039,24644,30294,33326,20478,30494,40432,40837,43951,31450,37306,28043,36015,31649,38505,46215,42280,36951,33281,35984,26713,20997,28946,30818,31703,34448,33209,25796,33707,16989,20800,38266,26138,23669,32078,30337,23602,30171,31994,19896,28245,38644,41275,41795,29959,31101,26876,33025,30659,36928,42935,40084,36263,31757,28770,22331,22808,29021,30691
