9139,0,68,10,9,1,41,4772,1007,1,1527,30,7,5,12277,0,1,137,18,42,10,123,1,235,35,0,58,50,106,7852,2953,7,33,23,114,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,7,9,1,3,0,0,0,0
0,2542,321,764,206,3,7,6,12,515,7,165,2,793,11,39,154,329,25,41,0,23,1919,161,1111,1860,193,5001,36,13,15,154,1,1,85,0,18,19,20,0,0,0,0,2,0,0,3,0,13,0,0,2,6,1,7,0,0,7,2,3,0,53,168,11,1,1,3,0,0,1
68,321,34276,75,82,8,1519,2123,2339,14,1846,235,8,14,926,4,35,17344,342,2047,5,2761,54,26629,555,3,17953,15231,2166,714,1052,70,39,78,2473,2,76,606,55,3,0,8,25,24,5,7,9,0,0,17,0,24,222,7,83,0,23,36,122,94,1,808,2362,75,9,20,0,1,6,41
10,764,75,585,1312,6,198,537,210,1471,270,342,13,787,162,53,1342,63,31,43,11,538,763,337,8428,1244,139,5743,1037,256,323,146,26,56,130,5,9,15,109,8,1,7,58,14,30,9,3,1,13,15,1,7,12,3,14,0,18,27,25,207,5,62,277,140,41,18,2,0,7,10
9,206,82,1312,13426,21,405,172,280,2258,7467,57,5231,131,217,463,94,34,7,7,14641,35,1376,97,14985,164,56,1312,4255,606,73,46,27,113,205,15,2,10,80,1097,6,160,312,169,67,415,2,233,3,88,9,8,2,1,3,492,8,19,24,1064,1,16,78,902,169,45,2,3,15,48
1,3,8,6,21,4102,1333,15,1319,22,62,28,89,11,124,2585,0,5,2,2,15,5,4,11,48,1,10,22,13,112,8,4,6360,1,93,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
41,7,1519,198,405,1333,65416,2110,23009,230,35214,159,16793,20,2275,4189,4,365,45,129,1409,297,13,663,486,2,475,335,1503,1589,284,16,1859,46,421,1,0,13,12,62,4,44,122,70,11,98,1,9,0,42,0,3,5,0,1,17,1,5,5,357,0,14,51,317,50,10,2,0,3,17
4772,6,2123,537,172,15,2110,50024,6800,85,22906,125,30,11,9244,8,25,426,35,84,26,1646,51,2131,1955,0,336,1035,27476,4599,12020,26,121,276,880,17,1,27,59,13,2,12,237,73,26,24,0,5,2,57,1,7,6,2,3,5,14,10,21,607,1,17,119,544,137,33,0,3,14,34
1007,12,2339,210,280,1319,23009,6800,81134,92,14946,594,2305,60,23571,691,15,1380,178,453,476,932,28,2667,518,11,1172,877,1271,3430,3308,65,5137,37,900,6,1,21,18,10,0,10,127,36,7,32,2,7,1,30,0,1,7,2,4,3,1,1,9,246,0,22,86,221,45,21,1,3,4,7
1,515,14,1471,2258,22,230,85,92,3565,698,211,620,749,42,662,15,10,11,11,148,5,2135,22,13515,663,65,2240,528,94,45,217,11,15,57,2,1,5,426,39,2,36,49,21,60,50,5,1,10,12,0,0,4,2,2,8,1,2,3,169,0,21,63,206,13,5,5,1,3,7
1527,7,1846,270,7467,62,35214,22906,14946,698,127295,382,11133,38,8596,285,21,480,75,99,11414,738,30,1369,2856,4,509,952,15391,5360,1374,60,363,215,1478,10,3,25,24,536,14,282,293,262,76,643,1,102,1,83,9,5,4,1,0,207,7,8,24,1318,0,27,110,1373,102,19,0,7,13,32
30,165,235,342,57,28,159,125,594,211,382,48534,111,3752,1203,15,6,2417,11718,3242,61,219,176,787,195,590,7011,2565,124,985,334,3070,324,53,10298,2,5,16,70,0,0,1,8,1,2,3,101,0,429,0,1,0,11,50,34,0,1,1,5,18,41,405,686,21,4,0,231,1,0,10
7,2,8,13,5231,89,16793,30,2305,620,11133,111,44227,12,873,3419,0,4,13,5,24047,4,3,6,2361,2,27,36,664,342,17,10,248,3,100,0,0,0,1,38,1,20,8,8,15,32,0,1466,0,1,4,0,0,1,0,86,0,0,0,24,1,0,3,52,1,0,0,0,0,1
5,793,14,787,131,11,20,11,60,749,38,3752,12,14818,75,41,17,22,88,26,5,6,584,20,707,4204,164,4748,13,61,15,2726,23,2,364,0,9,2,137,0,0,1,4,0,9,1,195,0,1088,1,0,0,7,42,20,0,0,18,1,7,60,294,743,3,2,1,417,0,0,7
12277,11,926,162,217,124,2275,9244,23571,42,8596,1203,873,75,65233,59,10,1196,277,417,383,929,32,2152,686,9,899,750,1400,22168,7391,133,2678,190,2301,4,0,15,23,9,0,9,78,20,7,16,1,0,7,15,0,1,4,0,7,1,6,1,10,193,1,20,78,159,29,23,2,0,4,5
0,39,4,53,463,2585,4189,8,691,662,285,15,3419,41,59,12786,5,4,3,4,258,1,60,7,1402,45,12,332,125,51,7,16,359,1,10,1,0,0,7,5,0,1,3,3,1,3,0,3,1,1,1,0,0,1,0,2,0,0,0,9,0,6,7,8,4,1,0,0,0,0
1,154,35,1342,94,0,4,25,15,15,21,6,0,17,10,5,27322,95,4,12,1,4395,5775,22302,3416,14,66,10836,1359,31,197,9,2,15,250,0,16,174,378,0,0,2,10,14,0,5,3,0,1,2,0,1130,14,3,12,0,279,1564,1674,164,0,59,2444,177,19,59,0,0,3,32
137,329,17344,63,34,5,365,426,1380,10,480,2417,4,22,1196,4,95,16611,2340,11846,2,1946,36,13520,244,19,12835,13795,458,1213,1805,95,42,82,4064,0,36,254,36,0,0,1,6,6,2,3,1,0,4,3,0,19,106,13,77,0,7,16,47,36,2,641,1356,21,3,6,5,0,0,24
